Age,Salary,Years_Experience,Department,Performance_Score,Bonus
28,45000,2,Sales,7.5,5000
35,62000,8,Engineering,8.2,8000
42,78000,15,Management,8.8,12000
29,48000,3,Sales,,6000
38,71000,10,Engineering,8.9,9500
45,85000,18,Management,9.1,14000
26,,1,Sales,6.8,4000
34,59000,7,Engineering,7.8,7500
41,82000,16,Management,8.7,13000
30,52000,4,Sales,7.9,6500
36,65000,9,Engineering,8.4,8500
43,80000,17,Management,8.9,12500
27,46000,2,Sales,7.3,5200
37,68000,11,Engineering,8.6,9000
44,,19,Management,9.0,13500
31,55000,5,Sales,8.0,7000
39,73000,12,Engineering,8.7,10000
46,88000,20,Management,9.2,15000
28,47000,2,Sales,7.6,5400
35,61000,8,Engineering,8.1,7800
